Gender,Age,Construction_type,New_construction,Elevator,Floors_in_the_building,Floor_area,Number_of_rooms,Number_of_bathrooms,Ceiling_height,Floor,Balcony,Furniture,Renovation,Children_are_welcome,Pets_allowed,Utility_payments,Address,Price,Duration,amenities,appliances,parking
1,47,8,0.0,1.0,9.0,64.0,3.0,1.0,2.8,3.0,0,1,major_renovation,1.0,0.0,0.0,4179,1200.0,1,12,167,5
1,48,8,0.0,1.0,9.0,62.0,3.0,1.0,2.7,7.0,0,1,euro_renovation,1.0,2.0,0.0,3384,250000.0,1,-1,-1,-1
1,36,5,0.0,1.0,9.0,54.0,2.0,1.0,2.7,5.0,0,1,major_renovation,1.0,0.0,2.0,1683,250000.0,1,14,159,5
1,60,9,0.0,0.0,4.0,32.0,1.0,1.0,2.8,2.0,open_balcony,1,cosmetic_renovation,1.0,0.0,0.0,2292,150000.0,1,-1,55,-1
0,62,7,1.0,1.0,14.0,73.0,3.0,1.0,3.0,7.0,open_balcony,,major_renovation,1.0,0.0,0.0,231,1500.0,1,-1,-1,-1
1,28,7,1.0,1.0,11.0,80.0,3.0,1.0,3.0,6.0,open_balcony,,major_renovation,1.0,0.0,0.0,311,1500.0,1,-1,-1,-1
0,54,9,0.0,0.0,4.0,48.0,2.0,1.0,3.0,2.0,open_balcony,,major_renovation,1.0,0.0,0.0,1665,1600.0,1,-1,-1,-1
1,31,8,1.0,1.0,9.0,89.0,3.0,1.0,3.0,4.0,open_balcony,,major_renovation,1.0,0.0,0.0,800,1700.0,1,-1,-1,-1
0,22,7,1.0,1.0,11.0,86.0,3.0,1.0,3.0,4.0,open_balcony,1,euro_renovation,1.0,2.0,0.0,2735,550000.0,1,14,166,6
1,70,7,1.0,1.0,10.0,60.0,2.0,1.0,3.0,5.0,0,,major_renovation,1.0,0.0,0.0,2044,1400.0,1,-1,-1,-1
1,39,9,0.0,1.0,16.0,90.0,3.0,1.0,2.8,15.0,0,,cosmetic_renovation,1.0,0.0,0.0,1834,300000.0,1,-1,-1,-1
1,61,8,0.0,1.0,9.0,70.0,3.0,1.0,2.75,4.0,closed_balcony,1,cosmetic_renovation,1.0,1.0,0.0,4072,170000.0,1,9,165,5
1,43,7,1.0,1.0,6.0,75.0,2.0,1.0,3.0,4.0,open_balcony,,major_renovation,0.0,0.0,0.0,2163,600000.0,1,-1,-1,-1
0,50,8,0.0,1.0,10.0,80.0,3.0,1.0,2.8,7.0,open_balcony,1,designer_renovation,1.0,2.0,0.0,1955,250000.0,1,14,78,5
0,55,9,0.0,0.0,5.0,55.0,2.0,1.0,3.0,2.0,0,,major_renovation,1.0,0.0,0.0,2675,1400.0,1,-1,-1,-1
1,32,9,0.0,0.0,5.0,60.0,2.0,1.0,2.8,2.0,closed_balcony,1,major_renovation,1.0,0.0,0.0,3206,300000.0,1,14,54,5
0,33,7,1.0,1.0,8.0,103.0,3.0,2.0,3.0,4.0,open_balcony,,major_renovation,1.0,0.0,0.0,1883,1800.0,1,-1,-1,-1
0,62,9,0.0,0.0,3.0,100.0,3.0,1.0,3.0,3.0,open_balcony,,major_renovation,1.0,0.0,0.0,1806,2100.0,1,-1,-1,-1
1,22,9,0.0,0.0,5.0,48.0,2.0,1.0,2.7,5.0,0,1,euro_renovation,1.0,0.0,0.0,4249,180000.0,1,4,195,5
0,49,9,0.0,0.0,5.0,66.0,3.0,1.0,3.2,2.0,open_balcony,1,designer_renovation,1.0,0.0,0.0,1182,1600.0,1,12,79,6
0,54,7,1.0,1.0,5.0,65.0,2.0,1.0,3.2,2.0,0,1,designer_renovation,1.0,2.0,0.0,2760,1100.0,1,11,41,5
0,60,7,1.0,0.0,3.0,46.0,2.0,1.0,3.0,2.0,0,1,euro_renovation,2.0,0.0,0.0,241,220000.0,1,4,167,5
0,21,9,0.0,0.0,5.0,70.0,2.0,1.0,3.0,2.0,0,1,designer_renovation,1.0,0.0,0.0,1272,1400.0,1,-1,-1,-1
0,37,7,1.0,1.0,16.0,62.0,2.0,1.0,3.0,9.0,closed_balcony,1,major_renovation,1.0,1.0,0.0,3430,1400.0,1,12,123,0
0,22,7,1.0,1.0,12.0,50.0,2.0,1.0,2.8,7.0,0,1,euro_renovation,2.0,0.0,0.0,2292,400000.0,1,15,156,5
0,66,8,0.0,1.0,15.0,105.0,3.0,1.0,2.7,8.0,0,2,cosmetic_renovation,1.0,2.0,0.0,2835,270000.0,1,-1,178,-1
0,45,9,1.0,1.0,6.0,32.0,2.0,1.0,2.5,1.0,0,2,major_renovation,2.0,0.0,0.0,2740,120000.0,1,8,-1,0
0,45,9,0.0,1.0,9.0,80.0,3.0,1.0,2.8,2.0,0,1,old_renovation,1.0,0.0,0.0,65,360000.0,1,14,173,5
0,31,9,0.0,0.0,2.0,55.0,2.0,1.0,2.8,1.0,0,1,designer_renovation,1.0,1.0,0.0,4357,250000.0,1,12,106,5
0,21,7,1.0,1.0,14.0,75.0,3.0,1.0,2.75,7.0,0,,major_renovation,11.0,10.0,10.0,1919,400000.0,1,-1,-1,-1
1,22,7,1.0,1.0,12.0,70.0,3.0,1.0,3.0,8.0,open_balcony,1,designer_renovation,2.0,2.0,0.0,1461,350000.0,1,-1,-1,-1
0,59,9,0.0,0.0,4.0,30.0,1.0,1.0,2.75,4.0,open_balcony,1,euro_renovation,1.0,0.0,0.0,1409,250000.0,1,4,122,5
1,29,7,1.0,1.0,18.0,60.0,2.0,1.0,3.0,17.0,open_balcony,1,designer_renovation,1.0,0.0,0.0,3684,1800.0,1,12,156,5
0,42,8,0.0,0.0,5.0,65.0,2.0,1.0,2.75,2.0,open_balcony,1,major_renovation,1.0,1.0,0.0,970,280000.0,1,-1,-1,-1
0,32,9,0.0,0.0,5.0,68.0,2.0,1.0,2.7,4.0,open_balcony,1,euro_renovation,2.0,0.0,0.0,3491,500000.0,1,11,78,5
1,36,8,0.0,1.0,9.0,65.0,2.0,1.0,2.75,3.0,closed_balcony,1,cosmetic_renovation,1.0,0.0,0.0,3840,200000.0,1,14,55,5
0,48,8,0.0,1.0,9.0,70.0,2.0,1.0,2.8,2.0,closed_balcony,1,cosmetic_renovation,1.0,2.0,2.0,1182,600.0,1,-1,-1,-1
1,55,8,0.0,1.0,9.0,48.0,2.0,1.0,2.8,2.0,open_balcony,1,cosmetic_renovation,1.0,0.0,0.0,1182,250000.0,1,9,173,5
0,51,9,0.0,0.0,5.0,40.0,1.0,1.0,3.0,1.0,0,1,euro_renovation,1.0,0.0,0.0,569,300000.0,1,12,79,5
0,22,8,0.0,1.0,14.0,100.0,4.0,2.0,2.5,12.0,open_balcony,1,euro_renovation,1.0,0.0,2.0,1104,380000.0,1,-1,-1,-1
0,69,8,1.0,1.0,4.0,65.0,3.0,1.0,2.6,2.0,0,1,euro_renovation,0.0,0.0,0.0,1999,1000.0,1,5,153,5
0,25,9,0.0,1.0,7.0,18.0,1.0,1.0,3.0,5.0,0,partial_furniture,cosmetic_renovation,1.0,0.0,0.0,3060,110000.0,1,9,4,-1
1,56,8,0.0,1.0,14.0,98.0,4.0,1.0,3.0,9.0,closed_balcony,2,partial_renovation,1.0,1.0,0.0,2736,260000.0,1,-1,-1,5
0,61,9,1.0,1.0,5.0,80.0,3.0,1.0,2.8,5.0,open_balcony,1,euro_renovation,1.0,2.0,2.0,1348,300000.0,1,-1,-1,-1
0,23,9,0.0,0.0,5.0,95.0,3.0,1.0,2.75,2.0,closed_balcony,1,major_renovation,1.0,0.0,0.0,1272,1500.0,1,-1,-1,-1
1,33,7,1.0,1.0,14.0,100.0,3.0,2.0,3.0,10.0,multiple_balconies,1,major_renovation,1.0,0.0,0.0,3246,450000.0,1,15,165,5
0,20,9,0.0,0.0,5.0,120.0,4.0,1.0,2.8,1.0,multiple_balconies,1,partial_renovation,2.0,0.0,0.0,1276,230000.0,1,11,-1,5
1,67,7,1.0,1.0,8.0,54.0,2.0,1.0,2.8,7.0,open_balcony,1,euro_renovation,1.0,2.0,2.0,1883,350000.0,1,-1,-1,-1
0,46,7,1.0,1.0,13.0,52.0,2.0,1.0,3.0,12.0,open_balcony,1,designer_renovation,1.0,1.0,0.0,2790,1000.0,1,-1,-1,-1
1,34,7,1.0,1.0,22.0,125.0,3.0,2.0,3.0,20.0,open_balcony,1,designer_renovation,1.0,0.0,0.0,2217,3000.0,1,-1,-1,-1
1,41,7,1.0,1.0,16.0,65.0,2.0,1.0,3.0,8.0,open_balcony,1,euro_renovation,1.0,1.0,0.0,311,900.0,1,-1,-1,-1
0,38,9,0.0,0.0,5.0,55.0,2.0,1.0,3.0,5.0,open_balcony,1,designer_renovation,1.0,1.0,0.0,1577,1000.0,1,-1,-1,-1
